OnXrpID,Issuer,Taxon,Name,Description,ImageUrl,BannerUrl,DiscordLink,TwitterLink,InstagramLink,FloorPrice,DailyVolume,WeeklyVolume,MonthlyVolume,TotalVolume,NftsCount
49322339,rNWhTjwvr42NjrBQ1DvGWRtVc6vwn7vXzg,7662,Xrillaz,Xrillaz,https://nftimg.onxrp.com/167717616484808547c37-2908-46a4-a4f8-590e47c3bd2a.jpeg,https://nftimg.onxrp.com/167717617047098ebc08a-befa-4eab-a114-c251323cdb69.jpeg,https://discord.gg/r7vpB2AZwg,Https://www.Twitter.com/Xrillaz,,10,0,0,7.777,765.777,4349
156376265,rDREAMers7onfWWwor7m421dAoT2zvdq5K,156376265,DREAMERS,"Dreamers, a hand-drawn PFP collection by BPM / RVLLRS.",https://nftimg.onxrp.com/1688387712543dreamer-pfp.jpg,https://nftimg.onxrp.com/DREAMERS-BANNER.jpg,https://discord.gg/SPzGu6Dsfn,https://twitter.com/bpmrevellers,,3,0,19.5,2644.74225,15585.25515,9999
4870,rEzbi191M5AjrucxXKZWbR5QeyfpbedBcV,1,Bored Apes XRP Club,The Bored Apes XRP Club is a premium NFT collection on the XRP Ledger that provides its holders with a variety of opportunities. Get yours today and join the jungle.,https://nftimg.onxrp.com/167136984703085694d08-f92f-4d4e-bc92-83e1bac2ea2b.png,https://nftimg.onxrp.com/1667770780831logo3.png,https://discord.gg/vNRWveY5s9,https://twitter.com/BoredApesXRP,,393,3487,15013,25940,1636435.099,9998
128020818,rMUTANT1weKyGyqLc36hJxKaMZmQfk1By,128020818,Mutant Apes XRP,"In a world where genetic experimentation has gone terribly wrong, a new breed of primate has emerged. A group of mutant apes, with enhanced attributes and strength, have escaped from a secret laboratory and are now on a rampage. ",https://nftimg.onxrp.com/1685369387352img_4877.png,https://nftimg.onxrp.com/mutant_apes_banner.PNG,https://discord.gg/C7t3Ktm94N,https://www.twitter.com/mutantapesxrp,,5,259,639.999,4100.368,39984.0089,10000
153472204,rMUTANT1weKyGyqLc36hJxKaMZmQfk1By,153472204,Super Mutant Apes,A collection of only 50 Super Mutant Apes escaped from Dr Quarkstein's Military Laboratory. ,https://nftimg.onxrp.com/1688117415520img_5835.png,https://nftimg.onxrp.com/1688117406629img_5653-2.png,https://discord.gg/C7t3Ktm94N,https://twitter.com/mutantapesxrp,,150,0,0,625,6922.001,50
30644924,rUv6Bmw6GRQHgJaiVcXnnNFCeTMKUE6FCa,1,HOGs,Collection 1 of undefined,https://nftimg.onxrp.com/1675035518720hoglogo.png,https://nftimg.onxrp.com/16750352366751667744635837_5dfb643494324b56ba640c140c7bf916-(1).png,http://discord.gg/vNRWveY5s9,https://twitter.com/BoredApesXRP,,80,200,5831,7658,39880.14,8033
40639,rRVLLRSgfcuuDBA4GT7gfAmTXvovsvZCH,40639,Revellers,"10,000 NFTs unlock unparalleled utility within the BPM Wallet ecosystem. The collection has been split into an initial 2,000 Revellers; the remaining 8,000 Revellers will be released at a later date with a dynamic pricing strategy protecting existing holders and the floor. Your Reveller is an exclusive pass to unlock live event rewards and raffle tickets to win once-in-a-lifetime experiences. Revellers will redefine the fan experience.",https://nftimg.onxrp.com/1670416658250img_1850.gif,https://nftimg.onxrp.com/BPMWallet-Socials-Revellers-Launch-onxrp.jpg,https://discord.gg/SPzGu6Dsfn,https://twitter.com/BPMrevellers,,170,0,519,3899.13,147182.13,2000
37,rG5qYqxdmDmLkVnPrLcWKE6LYTMeFGhYy9,37,Blockchain Backer,Digital Collectible NFTs from the official Blockchain Backer,https://nftimg.onxrp.com/1666703315455collection-512-by-512.jpg,https://nftimg.onxrp.com/1666703157942banner.jpg,,https://twitter.com/BCBacker,,100,0,240,1023,100563.6106,2911
557,rhsxg4xH8FtYc3eR53XDSjTGfKQsaAGaqm,1,LedgerPunks,"10,000 unique pixel-style collectible Ledgerpunks with proof of ownership stored on the XRP ledger. One of the first Punks on the XRPL created by NFT Labs.",https://nftimg.onxrp.com/16690235540531667254126268_8c9ee9922450452d9e56470b82344b51.png,https://nftimg.onxrp.com/16690235847021667257167794_8fc721f0f4ff4588b1d7725cf1ec59a3.png,https://nftlabs.to/discord,https://twitter.com/ledgerpunks,https://www.instagram.com/ledgerpunks/,25,0,0,15,731.01,9965
19476,rToXSFbQ8enso9A8zbmSrxhWkaNcU6yop,1,xAliens Genesis,"xAliens is a collection of quality, hand-curated, original artwork. It is the genesis collection of X City Labs.",https://nftimg.onxrp.com/1668503106505xaliens_pfp_s1200.png,https://nftimg.onxrp.com/1668502906380twitter-banner-xaliens.jpg,https://discord.com/invite/KAXgkq4eHg,https://twitter.com/xAliensNFT,https://www.instagram.com/xaliensnft/,23,0,20,209,131458.5018,10000
10312,rDANq225BqjoyiFPXGcpBTzFdQTnn6aK6z,10312,Junkies,"The Junkiverse is a unique gaming experience that blends classic hardcore MMO gameplay with social interaction and blockchain technology.

Shape your own destiny, explore large worlds that span across the multiverse, take on unprecedented dangers, gather resources, and craft an arsenal to aid you on your journey.

Each Junkie NFT provides a unique identity and access to Play-to-Earn mechanics within The Junkiverse.",https://nftimg.onxrp.com/JunkiesRustyMain.png,https://nftimg.onxrp.com/JunkiesLPBanner.png,https://discord.gg/junkiverse,https://twitter.com/XRPJunkies,,90,135,505,1928,129872.129,10000
50,rBRFkq47qJpVN4JcL13dUQaLT1HfNuBctb,50,MONKEE MONKEE,"A collection of cute, fun, little MONKEE’s looking for a new home.
Each one has been perfectly designed to fit snuggly within your wallet.",https://nftimg.onxrp.com/1667136454191monkee-main.png,https://nftimg.onxrp.com/1667136404527monkee-banner.png,https://discord.gg/am7WUd7NTf,https://twitter.com/XMONKEEMONKEE,,35,0,0,55,31290.033,10350
11455175,rateCCJPWcP4UvwA78v5hUzSqgo4gUck7C,707,Drowsy Droids,"The Drowsy Droids are a diverse and versatile line of personal assistant robots designed to meet the needs of the various residents in the Undercity. Equipped with advanced artificial intelligence and a range of other helpful features, these droids can handle a wide range of requests and demands.",https://nftimg.onxrp.com/1673297339916dd_cnc_pfp.png,https://nftimg.onxrp.com/1673297344939dd_cnc.png,https://discord.gg/Junkiverse,https://twitter.com/XRPJunkies,https://www.instagram.com/junkiverse/,10,0,245,348,16792.8,6998
52,rpbjkoncKiv1LkPWShzZksqYPzKXmUhTW7,52,XPUNKS,"The XPUNK collection consists of 10,000 uniquely generated characters on a 24-by-24-pixel canvas. They are distinguished by their colorful traits and trademark X-mouth that represents their love for the XRPL.",https://nftimg.onxrp.com/1690821194831logo-pfp.png,https://nftimg.onxrp.com/xpunks_banner.png,https://discord.com/invite/xpunks,https://twitter.com/XPUNKNFTs,https://www.instagram.com/xpunks.official/,745,3837,31345,111164.7,4208376.052,6747
40496,ra59pDJcuqKJcQws7Xpuu1S8UYKmKnpUkW,1,xSPECTAR,,https://nftimg.onxrp.com/1670616106412onxrp-logo.jpg,https://nftimg.onxrp.com/1670616109918onxrp-banner.jpg,https://discord.gg/xspectar,https://twitter.com/xspectar,https://www.instagram.com/xspectar/,139,0,1965,7246,579437.6552,8888
54291,rMgcSs3HQjvy3ZM2FVsxqgUrudVPM7HP5m,54291,UNIXPUNKS,"A collection of 4727 funny unicorn-like XPUNKs. The scale of utility will depend on the success of the series. Every XPUNK deserves a UNIXPUNK, however not every XPUNK can get one. Can you obtain yours in time?",https://nftimg.onxrp.com/1671488575293pfp.gif,https://nftimg.onxrp.com/unixpunks_banner.png,https://discord.com/invite/xpunks,https://twitter.com/XRPLPUNKS,https://www.instagram.com/xpunks.official/,195,195,2118,7933,576960.4973,4727
55214,r9ZW5tjbhKFLWxs4j1KqF61YSHAyDvo52D,11,A.A. XRP Cyborgs,"The A.A. XRP Cyborgs invaded the XRPL marketplaces to support the A.A. Family.
These 500 pieces limited collection come with a huge Giveaway! 1 Cyborg NFT = 1 raffle ticket for the 100K XRP big pot ! ",https://nftimg.onxrp.com/1671718987389ezgif.com-gif-maker-(13).gif,https://nftimg.onxrp.com/1671812420958a.a.-xrp-cyborgs-(7).png,https://discord.gg/cb7MFqVt6v,https://twitter.com/AnonymousRealx,https://www.instagram.com/anonymousrealx/?hl=en,220,0,350,350,270740.7501,500
9,r3BWpaFk3rtWhhs2Q5FwFqLVdTPnfVUJLr,9,The Bearable Bulls,"The Bearable Bulls are one of the first, pre-XLS20 OG art collections on the XRP Ledger, and are the Genesis collection for Club XRPL. 10,000 completely original, hand-drawn characters by professional artists featuring over 200 illustrated and randomly generated traits. The digital collectibles represent the spirit of XRP bulls across the world, and carry a pinch of XRP history.  Stay Bullish",https://nftimg.onxrp.com/1674519898957bearable_bull_11_512.png,https://nftimg.onxrp.com/1690044435636bbnewbanner.png,https://discord.gg/clubxrpl,https://twitter.com/ClubXRPL,,50,0,35,10389.9,219606.421,9998
52325,ra59pDJcuqKJcQws7Xpuu1S8UYKmKnpUkW,2,The Crown Council,XSPECTAR - The Crown Council,https://ipfs.filebase.io/ipfs/QmXNCZC4kbaMCQJm1DMWRgxUdTE21x3bGaoXVmqWW6Wb2g,https://nftimg.onxrp.com/1673557178314the-crown-council-banner-1086x400.png,,,,14999,0,0,0,175272,88
90386995,rDPUNKX2Rf5joEyVnmXFnnWL5MYa92wLPN,90386995,DoodlePunkX,"The Anti Derivative, Derivative Club. ",https://nftimg.onxrp.com/16818097763450.png,https://nftimg.onxrp.com/1681809745938doodlepunkx-onxrp-banner.jpg,,https://twitter.com/doodlepunkx,,12,8,51,1193.5,172294.9521,9999
16026,r9ZW5tjbhKFLWxs4j1KqF61YSHAyDvo52D,10106,A.A. XRPL Toybox #1,"Anonymous Astronauts XRPL Toybox #1 'The One'

This NFT grants monthly AAX & quarterly XRP passive income.
On top of that, 2.5% of royalties from secondary sales of all our XRPL collections
are distributed to our AAX holders.
More info: https://www.anonymousnfts.xyz",https://nftimg.onxrp.com/16682620538671-%281%29.gif,https://nftimg.onxrp.com/1671886450348a.a.-xrp-cyborgs-(18).png, https://discord.gg/cb7MFqVt6v,https://twitter.com/AnonymousRealx,,4300,0,0,0,94690,25
26702,r9ZW5tjbhKFLWxs4j1KqF61YSHAyDvo52D,7,A.A. XRPL Toybox #7,"A.A. XRPL Toybox #7 'Captain 589'

This NFT grants monthly AAX & quarterly XRP passive income.
On top of that, 2.5% of royalties from secondary sales of all our XRPL collections
are distributed to our AAX holders.
More info: https://www.anonymousnfts.xyz",https://nftimg.onxrp.com/1669142593963toybox7gif.jpg,https://nftimg.onxrp.com/1671885996474a.a.-xrp-cyborgs-(15).png,https://discord.gg/cb7MFqVt6v,https://twitter.com/AnonymousRealx,https://www.instagram.com/anonymousrealx/,1400,0,0,0,73308.10001,25
8395468,r9ZW5tjbhKFLWxs4j1KqF61YSHAyDvo52D,12,A.A. XRPL Toybox #10,"A.A. Toybox #10 'Destination ClimaaX' This NFT grants monthly AAX & quarterly XRP passive income.
On top of that, 2.5% of royalties from secondary sales of all our XRPL collections
are distributed to our AAX holders.
More info: https://www.anonymousnfts.xyz",https://nftimg.onxrp.com/1673008945688tbx10.jpg,https://nftimg.onxrp.com/1673253123861a.a.-xrp-cyborgs-(8).png,https://discord.gg/cb7MFqVt6v,https://twitter.com/AnonymousRealx,https://www.instagram.com/anonymousrealx/?hl=en,1750,0,0,0,69275,25
